Location,Period,Value
CAN,1996-Q3,7.45201082251082
CAN,1996-Q4,6.39051515151515
CAN,1997-Q1,6.49190909090909
CAN,1997-Q2,6.54310245310245
CAN,1997-Q3,5.9446240981241
CAN,1997-Q4,5.59265436318068
CAN,1998-Q1,5.40724963924964
CAN,1998-Q2,5.3393391053391
CAN,1998-Q3,5.38646464646465
CAN,1998-Q4,4.98315873015873
CAN,1999-Q1,5.09697826086957
CAN,1999-Q2,5.32331096681097
CAN,1999-Q3,5.65603174603175
CAN,1999-Q4,6.0880873015873
CAN,2000-Q1,6.28611076604555
CAN,2000-Q2,6.01155502392345
CAN,2000-Q3,5.78645454545455
CAN,2000-Q4,5.61752715121136
CAN,2001-Q1,5.38333333333333
CAN,2001-Q2,5.72031962481963
CAN,2001-Q3,5.54467228677755
CAN,2001-Q4,5.27276372750057
CAN,2002-Q1,5.44387878787879
CAN,2002-Q2,5.55951515151515
CAN,2002-Q3,5.09881024531025
CAN,2002-Q4,5.06142424242424
CAN,2003-Q1,4.99032034632035
CAN,2003-Q2,4.67063492063492
CAN,2003-Q3,4.78077489177489
CAN,2003-Q4,4.80044808992178
CAN,2004-Q1,4.43270841959973
CAN,2004-Q2,4.77286147186147
CAN,2004-Q3,4.66111111111111
CAN,2004-Q4,4.45174603174603
CAN,2005-Q1,4.27456060606061
CAN,2005-Q2,4.03193362193362
CAN,2005-Q3,3.89617532467533
CAN,2005-Q4,4.06504761904762
CAN,2006-Q1,4.13287094547964
CAN,2006-Q2,4.4188995215311
CAN,2006-Q3,4.25509956709957
CAN,2006-Q4,4.02416875522139
CAN,2007-Q1,4.09507575757576
CAN,2007-Q2,4.35902813852814
CAN,2007-Q3,4.45831738437001
CAN,2007-Q4,4.16664843928002
CAN,2008-Q1,3.72839393939394
CAN,2008-Q2,3.67002164502164
CAN,2008-Q3,3.62763564213564
CAN,2008-Q4,3.39515835042151
CAN,2009-Q1,2.88627211969317
CAN,2009-Q2,3.20512554112554
CAN,2009-Q3,3.4197683982684
CAN,2009-Q4,3.41130952380953
CAN,2010-Q1,3.46637299771167
CAN,2010-Q2,3.47107575757576
CAN,2010-Q3,3.00539682539683
CAN,2010-Q4,2.99771428571428
CAN,2011-Q1,3.31229672006102
CAN,2011-Q2,3.15587734487734
CAN,2011-Q3,2.52717676767677
CAN,2011-Q4,2.13679365079365
CAN,2012-Q1,2.03593939393939
CAN,2012-Q2,1.91146392496393
CAN,2012-Q3,1.77363446495026
CAN,2012-Q4,1.77260271891851
CAN,2013-Q1,1.91691945773525
CAN,2013-Q2,1.96498484848485
CAN,2013-Q3,2.5825367965368
CAN,2013-Q4,2.58339393939394
CAN,2014-Q1,2.46945887445887
CAN,2014-Q2,2.35285714285714
CAN,2014-Q3,2.14583261183261
CAN,2014-Q4,1.95517240069872
CAN,2015-Q1,1.44218386876282
CAN,2015-Q2,1.64498412698413
CAN,2015-Q3,1.48082467532467
CAN,2015-Q4,1.51878571428571
CAN,2016-Q1,1.21689393939394
CAN,2016-Q2,1.28479076479077
CAN,2016-Q3,1.05997258297258
CAN,2016-Q4,1.44537301587302
CAN,2017-Q1,1.71294468054193
CAN,2017-Q2,1.51302232854864
CAN,2017-Q3,1.94704545454545
CAN,2017-Q4,1.96159565580618
CAN,2018-Q1,2.23698792435635
CAN,2018-Q2,2.27784992784993
CAN,2018-Q3,2.27876053770791
CAN,2018-Q4,2.31805004936584
CAN,2019-Q1,1.85779524568998
CAN,2019-Q2,1.6171103897619
CAN,2019-Q3,1.36277633466667
CAN,2019-Q4,1.517848485
